Make,Model,Year,Body Type,Engine,Horsepower,Torque,MSRP (USD),City MPG,Highway MPG,0-60 mph (sec)
Hyundai,Santa Fe Limited,2025,SUV,2.5L Turbo I-4,277 hp,311 lb-ft,43000,20,28,7.0
Kia,Carnival SX Prestige,2025,Minivan,3.5L V6,290 hp,262 lb-ft,49000,19,26,8.5
Toyota,Tundra Limited Hybrid,2025,Truck,3.4L Twin-Turbo V6 Hybrid,437 hp,583 lb-ft,56000,20,24,5.7
Ford,Edge ST,2025,SUV,2.7L EcoBoost V6,335 hp,380 lb-ft,47000,19,26,6.0
Chevrolet,Trailblazer RS,2025,SUV,1.3L Turbo I-3,155 hp,174 lb-ft,26000,29,33,8.7
BMW,430i xDrive,2025,Coupe,2.0L Turbo Inline-4,255 hp,295 lb-ft,53000,24,33,5.6
Audi,A5 Sportback Premium Plus,2025,Sedan,2.0L Turbo I-4,201 hp,236 lb-ft,50000,24,33,6.4
Tesla,Model 3 Performance,2025,Sedan,Electric Motor,455 hp,470 lb-ft,55000,113,109,3.5
Nissan,Frontier PRO-X,2025,Truck,3.8L V6,310 hp,281 lb-ft,38000,18,24,7.5
Subaru,WRX Premium,2025,Sedan,2.4L Turbo 4-Cylinder,271 hp,258 lb-ft,35000,19,26,5.5
Hyundai,Sonata N Line,2025,Sedan,2.5L Turbo I-4,290 hp,311 lb-ft,35000,23,33,5.3
Kia,K5 GT,2025,Sedan,2.5L Turbo I-4,290 hp,311 lb-ft,31000,24,32,5.7
Toyota,Corolla Cross Hybrid SE,2025,SUV,2.0L 4-Cylinder Hybrid,194 hp,139 lb-ft,29000,45,43,8.0
Ford,Maverick Lariat,2025,Truck,2.0L EcoBoost I-4,250 hp,277 lb-ft,31000,23,30,6.0
Chevrolet,Colorado Z71,2025,Truck,2.7L Turbo I-4,310 hp,430 lb-ft,38000,18,23,6.5
BMW,i4 eDrive35,2025,Sedan,Electric Motor,282 hp,295 lb-ft,50000,109,108,5.8
